time,..2.5.,..50....3,..50....4,..97.5.
72,4.2,15.8,15.8,34.4
72.121212,5.9,16.6,16.6,35.2
72.242424,7,17.4,17.4,36.3
72.363636,8,18.2,18.2,37.1
72.484848,8.8,19,19,38.1
72.606061,9.7,19.9,19.9,39.1
72.727273,10.4,20.9,20.9,40.2
72.848485,11.1,21.7,21.7,40.9
72.969697,11.8,22.5,22.5,41.8
73.090909,12.5,23.4,23.4,42.6
73.212121,13,24.2,24.2,43.3
73.333333,13.4,25,25,44.5
73.454545,13.9,25.8,25.8,45.5
73.575758,14.5,26.7,26.7,46.4
73.69697,14.9,27.4,27.4,47.4
73.818182,15.4,28.2,28.2,48.4
73.939394,16,29,29,49.4
74.060606,16.1,29.3,29.3,49.8
74.181818,16,29,29,49.6
74.30303,15.8,28.8,28.8,49.3
74.424242,15.6,28.6,28.6,49.1
74.545455,15.4,28.3,28.3,48.9
74.666667,15.1,28,28,48.7
74.787879,14.9,27.8,27.8,48.4
74.909091,14.8,27.6,27.6,48.2
75.030303,14.7,27.4,27.4,47.9
75.151515,14.5,27.1,27.1,47.7
75.272727,14.5,26.9,26.9,47.5
75.393939,14.4,26.7,26.7,47.2
75.515152,14.2,26.5,26.5,47
75.636364,14.2,26.3,26.3,46.9
75.757576,14.1,26.1,26.1,46.7
75.878788,13.9,26,26,46.3
76,13.7,25.7,25.7,46.1
76.121212,13.4,25.6,25.6,45.9
76.242424,13.2,25.4,25.4,45.7
76.363636,12.9,25.1,25.1,45.4
76.484848,12.7,25,25,45.3
76.606061,12.6,24.8,24.8,45.2
76.727273,12.3,24.6,24.6,45.1
76.848485,12.1,24.4,24.4,45
76.969697,12,24.2,24.2,44.8
77.090909,11.7,24,24,44.7
77.212121,11.6,23.8,23.8,44.6
77.333333,11.4,23.6,23.6,44.3
77.454545,11.2,23.4,23.4,44.1
77.575758,11,23.2,23.2,43.9
77.69697,10.9,23.1,23.1,43.8
77.818182,10.8,22.9,22.9,43.7
77.939394,10.6,22.8,22.8,43.6
78.060606,10.5,22.7,22.7,43.4
78.181818,10.2,22.5,22.5,43.3
78.30303,10,22.3,22.3,43.2
78.424242,9.8,22.1,22.1,43.1
78.545455,9.7,21.9,21.9,42.9
78.666667,9.6,21.8,21.8,42.7
78.787879,9.4,21.6,21.6,42.5
78.909091,9.2,21.4,21.4,42.3
79.030303,9.1,21.2,21.2,42
79.151515,8.9,21.1,21.1,41.7
79.272727,8.8,20.9,20.9,41.6
79.393939,8.7,20.8,20.8,41.4
79.515152,8.6,20.7,20.7,41.2
79.636364,8.5,20.5,20.5,41
79.757576,8.4,20.3,20.3,40.8
79.878788,8.4,20.2,20.2,40.7
80,8.3,20,20,40.5
80.121212,8.2,19.9,19.9,40.4
80.242424,7.9,19.7,19.7,40.2
80.363636,7.7,19.6,19.6,40.1
80.484848,7.6,19.4,19.4,40
80.606061,7.5,19.3,19.3,39.9
80.727273,7.4,19.1,19.1,39.8
80.848485,7.3,19,19,39.6
80.969697,7.2,18.9,18.9,39.4
81.090909,7.1,18.8,18.8,39.2
81.212121,7,18.7,18.7,39
81.333333,6.9,18.6,18.6,38.8
81.454545,6.8,18.4,18.4,38.6
81.575758,6.7,18.3,18.3,38.5
81.69697,6.6,18.2,18.2,38.3
81.818182,6.4,18.1,18.1,38.2
81.939394,6.3,18,18,38.1
82.060606,6.2,17.9,17.9,37.9
82.181818,6.1,17.7,17.7,37.8
82.30303,6,17.6,17.6,37.7
82.424242,5.8,17.5,17.5,37.6
82.545455,5.7,17.3,17.3,37.5
82.666667,5.5,17.2,17.2,37.4
82.787879,5.4,17.1,17.1,37.2
82.909091,5.3,17,17,37.1
83.030303,5.1,16.9,16.9,37
83.151515,5,16.8,16.8,36.9
83.272727,4.9,16.7,16.7,36.8
83.393939,4.8,16.6,16.6,36.7
83.515152,4.7,16.5,16.5,36.5
83.636364,4.6,16.3,16.3,36.4
83.757576,4.4,16.2,16.2,36.3
83.878788,4.3,16.1,16.1,36.2
84,4.2,16,16,36.1
